entrez,symbol,term_id,term_name,source
2074,ERCC6,C0029925,Ovarian Carcinoma,CGI
2074,ERCC6,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
2074,ERCC6,C0919267,ovarian neoplasm,CGI
2074,ERCC6,C1140680,Malignant neoplasm of ovary,CGI
2099,ESR1,C0006142,Malignant neoplasm of breast,CGI
2099,ESR1,C0029925,Ovarian Carcinoma,CGI
2099,ESR1,C0476089,Endometrial Carcinoma,CGI
2099,ESR1,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
2099,ESR1,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
2099,ESR1,C0678222,Breast Carcinoma,CGI
2099,ESR1,C0858252,Breast adenocarcinoma,CGI
2099,ESR1,C0919267,ovarian neoplasm,CGI
2099,ESR1,C1140680,Malignant neoplasm of ovary,CGI
2120,ETV6,C0023467,"Leukemia, Myelocytic, Acute",CGI
2131,EXT1,C0029463,Osteosarcoma,CGI
2132,EXT2,C0029463,Osteosarcoma,CGI
2146,EZH2,C0024301,"Lymphoma, Follicular",CGI
2146,EZH2,C0079744,Diffuse Large B-Cell Lymphoma,CGI
2175,FANCA,C0007112,Adenocarcinoma of prostate,CGI
2175,FANCA,C0023418,leukemia,CGI
2175,FANCA,C0023467,"Leukemia, Myelocytic, Acute",CGI
2176,FANCC,C0005684,Malignant neoplasm of urinary bladder,CGI
2176,FANCC,C0005695,Bladder Neoplasm,CGI
2176,FANCC,C0023418,leukemia,CGI
2176,FANCC,C0023467,"Leukemia, Myelocytic, Acute",CGI
2176,FANCC,C0154017,Benign neoplasm of bladder,CGI
2176,FANCC,C0154091,Carcinoma in situ of bladder,CGI
2176,FANCC,C0496930,Neoplasm of uncertain or unknown behavior of bladder,CGI
2176,FANCC,C0699885,Carcinoma of bladder,CGI
2177,FANCD2,C0023418,leukemia,CGI
2177,FANCD2,C0023467,"Leukemia, Myelocytic, Acute",CGI
2178,FANCE,C0023418,leukemia,CGI
2178,FANCE,C0023467,"Leukemia, Myelocytic, Acute",CGI
2188,FANCF,C0023418,leukemia,CGI
2188,FANCF,C0023467,"Leukemia, Myelocytic, Acute",CGI
2189,FANCG,C0023418,leukemia,CGI
2189,FANCG,C0023467,"Leukemia, Myelocytic, Acute",CGI
