entrez,symbol,term_id,term_name,source
4088,SMAD3,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
4089,SMAD4,C0345893,Juvenile polyposis syndrome,CLINGEN
4089,SMAD4,C1832940,JUVENILE POLYPOSIS OF STOMACH,CLINGEN
4089,SMAD4,C1868081,Juvenile Polyposis Coli,CLINGEN
4143,MAT1A,C0268621,Hepatic methionine adenosyltransferase deficiency,CLINGEN
4144,MAT2A,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
4149,MAX,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
4171,MCM2,C4310775,"DEAFNESS, AUTOSOMAL DOMINANT 70",CLINGEN
4191,MDH2,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
4204,MECP2,C0035372,Rett Syndrome,CLINGEN
4221,MEN1,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
4233,MET,C1306837,Papillary Renal Cell Carcinoma,CLINGEN
4233,MET,C1336078,"Papillary renal cell carcinoma, sporadic",CLINGEN
4233,MET,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
4233,MET,C3711374,Nonsyndromic Deafness,CLINGEN
4254,KITLG,C3711374,Nonsyndromic Deafness,CLINGEN
4281,MID1,C2936904,"Opitz GBBB Syndrome, X-Linked",CLINGEN
4286,MITF,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
4286,MITF,C2700265,Waardenburg Syndrome Type 2,CLINGEN
4292,MLH1,C0265325,Turcot syndrome (disorder),CLINGEN
4292,MLH1,C0346153,"Breast Cancer, Familial",CLINGEN
4292,MLH1,C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,CLINGEN
4292,MLH1,C4321324,Constitutional Mismatch Repair Deficiency Syndrome,CLINGEN
4329,ALDH6A1,C3279840,Methylmalonate Semialdehyde Dehydrogenase Deficiency,CLINGEN
4361,MRE11,C0346153,"Breast Cancer, Familial",CLINGEN
4436,MSH2,C0265325,Turcot syndrome (disorder),CLINGEN
4436,MSH2,C0346153,"Breast Cancer, Familial",CLINGEN
4436,MSH2,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
4436,MSH2,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
4436,MSH2,C4321324,Constitutional Mismatch Repair Deficiency Syndrome,CLINGEN
4436,MSH2,C4552100,Lynch Syndrome,CLINGEN
4437,MSH3,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
